"term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
1965,97,"AFortas",-1.403,0.274,-1.398,-1.967,-0.898
1966,97,"AFortas",-1.566,0.234,-1.558,-2.033,-1.122
1967,97,"AFortas",-1.479,0.24,-1.471,-1.975,-1.037
1968,97,"AFortas",-1.292,0.316,-1.279,-1.954,-0.712
1962,96,"AJGoldberg",-1.094,0.227,-1.085,-1.56,-0.673
1963,96,"AJGoldberg",-1.208,0.213,-1.202,-1.642,-0.813
1964,96,"AJGoldberg",-0.859,0.257,-0.851,-1.385,-0.383
1987,106,"AMKennedy",1.19,0.283,1.182,0.658,1.767
1988,106,"AMKennedy",1.464,0.228,1.457,1.043,1.922
1989,106,"AMKennedy",1.359,0.216,1.354,0.959,1.8
1990,106,"AMKennedy",1.22,0.216,1.212,0.815,1.655
1991,106,"AMKennedy",0.887,0.207,0.884,0.498,1.302
1992,106,"AMKennedy",1.045,0.216,1.045,0.63,1.481
1993,106,"AMKennedy",0.88,0.22,0.877,0.462,1.325
1994,106,"AMKennedy",0.844,0.211,0.841,0.44,1.266
1995,106,"AMKennedy",0.713,0.216,0.711,0.291,1.138
1996,106,"AMKennedy",0.849,0.214,0.844,0.434,1.289
1997,106,"AMKennedy",0.815,0.222,0.813,0.384,1.258
1998,106,"AMKennedy",0.921,0.226,0.914,0.498,1.382
1999,106,"AMKennedy",1.065,0.228,1.059,0.641,1.528
2000,106,"AMKennedy",0.952,0.223,0.947,0.535,1.397
2001,106,"AMKennedy",1.04,0.231,1.034,0.602,1.507
2002,106,"AMKennedy",0.883,0.236,0.881,0.431,1.36
2003,106,"AMKennedy",0.747,0.227,0.745,0.31,1.196
2004,106,"AMKennedy",0.539,0.22,0.534,0.117,0.991
2005,106,"AMKennedy",0.487,0.223,0.483,0.05,0.938
2006,106,"AMKennedy",0.444,0.206,0.44,0.049,0.864
2007,106,"AMKennedy",0.396,0.219,0.394,-0.024,0.831
2008,106,"AMKennedy",0.554,0.201,0.551,0.166,0.959
2009,106,"AMKennedy",0.517,0.216,0.511,0.101,0.948
2010,106,"AMKennedy",0.579,0.21,0.577,0.17,0.999
2011,106,"AMKennedy",0.295,0.208,0.292,-0.114,0.709
2012,106,"AMKennedy",0.233,0.205,0.23,-0.166,0.64
2013,106,"AMKennedy",0.04,0.234,0.038,-0.415,0.501
2014,106,"AMKennedy",-0.29,0.222,-0.287,-0.731,0.14
2015,106,"AMKennedy",-0.448,0.278,-0.443,-1.007,0.085
1986,105,"AScalia",1.426,0.239,1.412,0.985,1.923
1987,105,"AScalia",1.643,0.249,1.635,1.181,2.148
1988,105,"AScalia",1.811,0.264,1.802,1.304,2.343
1989,105,"AScalia",2.012,0.277,2.004,1.492,2.582
1990,105,"AScalia",2.194,0.306,2.187,1.619,2.82
1991,105,"AScalia",2.536,0.321,2.526,1.929,3.187
1992,105,"AScalia",2.574,0.356,2.56,1.913,3.29
1993,105,"AScalia",2.654,0.373,2.645,1.961,3.406
1994,105,"AScalia",2.878,0.383,2.872,2.154,3.654
1995,105,"AScalia",3.144,0.394,3.135,2.396,3.943
1996,105,"AScalia",3.348,0.407,3.333,2.583,4.167
1997,105,"AScalia",3.414,0.423,3.408,2.623,4.262
1998,105,"AScalia",3.397,0.437,3.385,2.575,4.278
1999,105,"AScalia",3.475,0.423,3.467,2.666,4.329
2000,105,"AScalia",3.473,0.415,3.461,2.69,4.32
2001,105,"AScalia",3.317,0.416,3.308,2.531,4.162
2002,105,"AScalia",3.001,0.419,2.996,2.22,3.866
2003,105,"AScalia",2.809,0.41,2.799,2.039,3.658
2004,105,"AScalia",2.585,0.404,2.575,1.825,3.409
2005,105,"AScalia",2.533,0.394,2.522,1.789,3.329
2006,105,"AScalia",2.522,0.373,2.512,1.842,3.299
2007,105,"AScalia",2.389,0.361,2.378,1.716,3.119
2008,105,"AScalia",2.29,0.352,2.278,1.642,3.002
2009,105,"AScalia",2.273,0.345,2.267,1.622,2.971
2010,105,"AScalia",2.099,0.349,2.09,1.444,2.811
2011,105,"AScalia",2.021,0.332,2.01,1.397,2.707
2012,105,"AScalia",1.687,0.332,1.672,1.077,2.382
2013,105,"AScalia",1.542,0.344,1.53,0.907,2.258
2014,105,"AScalia",1.453,0.35,1.438,0.822,2.196
2015,105,"AScalia",1.526,0.443,1.513,0.699,2.422
1937,77,"BNCardozo",-1.598,0.635,-1.546,-2.957,-0.48
1961,95,"BRWhite",-0.279,0.29,-0.275,-0.858,0.286
1962,95,"BRWhite",-0.246,0.166,-0.246,-0.578,0.079
1963,95,"BRWhite",-0.151,0.154,-0.15,-0.453,0.144
1964,95,"BRWhite",-0.167,0.189,-0.166,-0.545,0.194
1965,95,"BRWhite",-0.178,0.172,-0.178,-0.515,0.155
1966,95,"BRWhite",-0.02,0.151,-0.02,-0.316,0.276
1967,95,"BRWhite",0.245,0.144,0.243,-0.032,0.528
1968,95,"BRWhite",0.067,0.17,0.065,-0.262,0.399
1969,95,"BRWhite",0.103,0.174,0.101,-0.231,0.45
1970,95,"BRWhite",0.477,0.173,0.473,0.146,0.828
1971,95,"BRWhite",0.665,0.166,0.663,0.346,0.994
1972,95,"BRWhite",0.989,0.172,0.983,0.667,1.336
1973,95,"BRWhite",0.573,0.158,0.569,0.271,0.899
1974,95,"BRWhite",0.616,0.179,0.609,0.275,0.976
1975,95,"BRWhite",0.498,0.157,0.493,0.202,0.812
1976,95,"BRWhite",0.354,0.153,0.353,0.056,0.658
1977,95,"BRWhite",-0.002,0.162,-0.002,-0.319,0.317
1978,95,"BRWhite",-0.047,0.155,-0.046,-0.355,0.253
1979,95,"BRWhite",0.216,0.151,0.215,-0.076,0.513
1980,95,"BRWhite",0.171,0.162,0.17,-0.138,0.491
1981,95,"BRWhite",0.184,0.154,0.181,-0.108,0.492
1982,95,"BRWhite",0.598,0.168,0.596,0.278,0.936
1983,95,"BRWhite",0.815,0.179,0.811,0.474,1.17
1984,95,"BRWhite",0.997,0.199,0.993,0.617,1.401
1985,95,"BRWhite",1.205,0.2,1.202,0.827,1.6
1986,95,"BRWhite",1.2,0.189,1.196,0.848,1.581
1987,95,"BRWhite",0.978,0.201,0.972,0.599,1.389
1988,95,"BRWhite",1.062,0.192,1.057,0.704,1.456
1989,95,"BRWhite",0.82,0.182,0.818,0.478,1.186
1990,95,"BRWhite",0.6,0.186,0.599,0.241,0.984
1991,95,"BRWhite",0.627,0.19,0.624,0.267,1.015
1992,95,"BRWhite",0.57,0.228,0.564,0.142,1.028
1937,75,"CEHughes2",-0.371,0.234,-0.367,-0.834,0.08
1938,75,"CEHughes2",-0.191,0.188,-0.188,-0.558,0.18
1939,75,"CEHughes2",0.34,0.194,0.336,-0.039,0.724
1940,75,"CEHughes2",0.939,0.24,0.932,0.496,1.435
1956,93,"CEWhittaker",1.043,0.286,1.035,0.501,1.625
1957,93,"CEWhittaker",1.099,0.203,1.09,0.716,1.518
1958,93,"CEWhittaker",1.353,0.219,1.348,0.942,1.794
1959,93,"CEWhittaker",1.448,0.22,1.442,1.03,1.894
1960,93,"CEWhittaker",1.275,0.244,1.264,0.822,1.78
1961,93,"CEWhittaker",1.194,0.342,1.185,0.548,1.893
1991,108,"CThomas",2.757,0.467,2.734,1.91,3.752
1992,108,"CThomas",3.051,0.456,3.04,2.215,3.978
1993,108,"CThomas",3.417,0.446,3.398,2.581,4.335
1994,108,"CThomas",3.624,0.448,3.61,2.779,4.542
1995,108,"CThomas",3.698,0.462,3.684,2.834,4.65
1996,108,"CThomas",3.756,0.471,3.741,2.873,4.713
1997,108,"CThomas",3.749,0.481,3.735,2.849,4.724
1998,108,"CThomas",3.776,0.488,3.763,2.858,4.764
1999,108,"CThomas",3.725,0.502,3.701,2.809,4.753
2000,108,"CThomas",3.76,0.501,3.738,2.845,4.802
2001,108,"CThomas",3.721,0.516,3.706,2.752,4.764
2002,108,"CThomas",3.862,0.505,3.848,2.908,4.878
2003,108,"CThomas",3.882,0.507,3.868,2.933,4.915
2004,108,"CThomas",3.923,0.507,3.915,2.972,4.944
2005,108,"CThomas",3.951,0.506,3.927,3.005,4.978
2006,108,"CThomas",3.911,0.497,3.89,2.992,4.924
2007,108,"CThomas",3.769,0.496,3.75,2.853,4.794
2008,108,"CThomas",3.52,0.516,3.496,2.563,4.576
2009,108,"CThomas",3.378,0.523,3.351,2.425,4.485
2010,108,"CThomas",3.203,0.544,3.175,2.218,4.345
2011,108,"CThomas",3.163,0.543,3.128,2.198,4.311
2012,108,"CThomas",3.108,0.562,3.066,2.119,4.32
2013,108,"CThomas",3.127,0.584,3.092,2.097,4.38
2014,108,"CThomas",3.119,0.616,3.075,2.044,4.466
2015,108,"CThomas",3.137,0.661,3.087,1.967,4.576
1990,107,"DHSouter",0.995,0.225,0.992,0.565,1.444
1991,107,"DHSouter",0.654,0.193,0.65,0.288,1.043
1992,107,"DHSouter",0.273,0.188,0.272,-0.095,0.64
1993,107,"DHSouter",-0.227,0.192,-0.224,-0.607,0.146
1994,107,"DHSouter",-0.323,0.195,-0.318,-0.708,0.053
1995,107,"DHSouter",-0.343,0.204,-0.342,-0.751,0.051
1996,107,"DHSouter",-0.343,0.202,-0.34,-0.747,0.038
1997,107,"DHSouter",-0.46,0.214,-0.459,-0.884,-0.047
1998,107,"DHSouter",-0.585,0.211,-0.578,-1.01,-0.183
1999,107,"DHSouter",-0.985,0.227,-0.984,-1.444,-0.545
2000,107,"DHSouter",-1.236,0.246,-1.229,-1.744,-0.775
2001,107,"DHSouter",-1.422,0.264,-1.417,-1.955,-0.924
2002,107,"DHSouter",-1.535,0.283,-1.527,-2.1,-0.998
